restaurant_id,restaurant_name,restaurant_address,company_number,company_name,company_status,company_type,incorporation_date,registered_address,sic_codes,confidence,match_reason
7,Honky Tonk Wine Library,"N E Quay, Sutton Harbour, Plymouth PL4 0BN, UK",11403510,HONKYTONK WINE LIBRARY LIMITED,active,ltd,2018-06-07,"2 North East Quay, Plymouth, England, PL4 0BN",,113.44444444444444,"exact_name, postcode_match, plymouth_area, active"
223,In Seoul,"10, 12 Market Ave, Plymouth PL1 1PQ, UK",15558550,IN SEOUL LTD,active,ltd,2024-03-13,"10-12 Market Avenue, Plymouth, England, PL1 1PQ",,115.0,"exact_name, postcode_match, plymouth_area, active"
33,KFC Plymouth,"121 Anson Rd, Martlesham Heath, Marltesham heath, Martlesham, Ipswich IP5 3RA, UK",02225661,KFC LIMITED,active,ltd,1988-02-29,"Unit 56 Wimbledon Stadium Business Centre, Riverside Road, London, England, SW17 0BE",,75.0,"exact_name, active"
256,KYOWA,"58 Ebrington St, Plymouth PL4 9AF, UK",10575115,KYOWA LTD,active,ltd,2017-01-20,"58 Ebrington Street, Plymouth, England, PL4 9AF",,115.0,"exact_name, postcode_match, plymouth_area, active"
244,Karak Chaii Plymouth,"101 Armada Way, Plymouth PL1 1HH, UK",15464701,KARAK CHAII PLYMOUTH LTD,active,ltd,2024-02-04,"101 Armada Way, Plymouth, England, PL1 1HH",,94.67741935483872,"partial_name, postcode_match, plymouth_area, active"
316,Kitty O'Hanlons Plymouth,"5 St Andrew St, Plymouth PL1 2AH, UK",11904041,KITTY O'HANLON'S LIMITED,dissolved,ltd,2019-03-25,"PL1 2AH, 5 St. Andrew Street, Plymouth, England, PL1 2AH",,90.0,"exact_name, postcode_match, plymouth_area, status_dissolved"
2,Knead Pizza Plymouth,"Prysten House, Plymouth PL1 2AE, UK",10854568,KNEAD PIZZA LTD,active,ltd,2017-07-07,"Wadstray House, Blackawton, Totnes, United Kingdom, TQ9 7DE",,75.0,"exact_name, active"
229,Lost in Rio Restaurant & Cocktail Bar,"8 Parade, Plymouth PL1 2JL, UK",15991083,LOST IN RIO RESTAURANT & COCKTAIL BAR LIMITED,active,ltd,2024-10-01,"Lost In Rio Restaurant And Cocktail Bar 8 The Parade Barbican, Plymouth, England, PL1 2JL",,111.0,"similar_name, postcode_match, plymouth_area, active"
344,Marina Bar,"Sutton Harbour, Plymouth PL4 0DN, UK",15340367,MARINA LTD,active,ltd,2023-12-09,"20 Wenlock Road, London, England, N1 7GU",,75.0,"exact_name, active"
337,Melbourne Inn,"224 Cecil St, Stonehouse, Plymouth PL1 5HP, UK",11520030,MELBOURNE INN LIMITED,dissolved,ltd,2018-08-15,"Plym House, 3 Longbridge Road, Plymouth, United Kingdom, PL6 8LT",,75.0,"exact_name, postcode_nearby, plymouth_area, status_dissolved"
253,Meze Grill,"48 Southside St, Plymouth PL1 2LD, UK",16145700,MEZE GRILL TAKEAWAY LTD,active,ltd,2024-12-20,"48 Southside Street, Plymouth, England, PL1 2LD",,93.27586206896552,"partial_name, postcode_match, plymouth_area, active"
339,Minerva Inn,"31 Looe St, Plymouth PL4 0EA, UK",08942985,THE MINERVA INN LTD,dissolved,ltd,2014-03-17,"2 Alexandra Road, Mutley, Plymouth, England, PL4 7JR",,79.23076923076923,"similar_name, postcode_match, plymouth_area, status_dissolved"
305,Moments Café and Memory Matters Hub,"69a New George St, Plymouth PL1 1RJ, UK",07285140,MEMORY MATTERS CIC,active,private-limited-guarant-nsc,2010-06-15,"Moments,, 69a New George Street, Plymouth, England, PL1 1RJ",,84.62264150943396,"postcode_match, plymouth_area, active"
69,Nando's Barbican,"Unit 3, Barbican Leisure Park, Barbican Approach, Plymouth PL4 0LG, UK",07336115,NANDO'S LIMITED,active,ltd,2010-08-04,"St Mary's House, 42 Vicarage Crescent, London, SW11 3LD",,75.0,"exact_name, active"
91,Nando's Plymouth,"Unit 3, Barbican Leisure Park, Barbican Approach, Plymouth PL4 0LG, UK",07336115,NANDO'S LIMITED,active,ltd,2010-08-04,"St Mary's House, 42 Vicarage Crescent, London, SW11 3LD",,75.0,"exact_name, active"
259,Nawroz Restaurant,"142 King St, Stonehouse, Plymouth PL1 5JE, UK",13077698,NAWROZ LIMITED,active,ltd,2020-12-11,"20 Peacock Lane, Plymouth, England, PL4 0DQ",,100.0,"exact_name, postcode_nearby, plymouth_area, active"
332,Number 10,"197 North Rd W, Stonehouse, Plymouth PL1 5DG, UK",14992316,NUMBER 10 LTD,active,ltd,2023-07-10,"6a South Close, Village Way, Pinner, United Kingdom, HA5 5AE",,75.0,"exact_name, active"
56,Panchos Burritos,"Market Ave, Plymouth PL1 1PS, UK",07107063,PANCHO'S BURRITOS LTD,active,ltd,2009-12-17,"Fc1 Arndale Market 49 High Street, Manchester, Greater Manchester, M4 3AH",,75.0,"exact_name, active"
5,Pier One,"135 Hoe Rd, Plymouth PL1 3DE, UK",09653969,PIER ONE (SW) LTD,active,ltd,2015-06-24,"135 Hoe Road, Plymouth, England, PL1 3DE",,103.94736842105263,"similar_name, postcode_match, plymouth_area, active"
46,Pizza Express Plymouth,"Pilgrims House, 17 Derrys Cross, Plymouth PL1 2SW, UK",01404552,PIZZAEXPRESS LIMITED,active,ltd,1978-12-11,"Building 01 Arc Uxbridge, Sanderson Road, Uxbridge, Middlesex, United Kingdom, UB8 1DH",,72.2,"exact_name, active"
122,Plymouth Arts Centre Cafe,"Duke St, Devonport, Plymouth PL1 4PS, UK",02324916,PLYMOUTH ARTS CINEMA,active,private-limited-guarant-nsc-limited-exemption,1988-12-05,"C/O Arts University Plymouth, Tavistock Place, Plymouth, England, PL4 8AT",,86.0,"similar_name, postcode_nearby, plymouth_area, active"
70,Plymouth Arts Centre Café,"Royal Parade, Plymouth PL1 2TR, UK",12100693,"PLYMOUTH RADIO, MEDIA AND ARTS CIC",active,private-limited-guarant-nsc,2019-07-12,"The Old Morgue, 14-17 Manor Street, Plymouth, Devon, England, PL1 1TL",,83.62068965517241,"postcode_match, plymouth_area, active"
257,Plymouth Jollof Kitchen,"65 Union St, Stonehouse, Plymouth PL1 3LU, UK",14018227,PLYMOUTH JOLLOF KITCHEN COMMUNITY INTEREST COMPANY,active,private-limited-guarant-nsc,2022-04-01,"65 The Clipper Union Street, Plymouth, Devon, England, PL1 3LU",,89.10958904109589,"partial_name, postcode_match, plymouth_area, active"
227,Positano,"36-38 Mayflower St, Plymouth PL1 1QX, UK",06830710,POSITANO LIMITED,active,ltd,2009-02-26,"Unit A11 Setters Farm, Mount Pleasant Lane, Lymington, England, SO41 8LS",,75.0,"exact_name, active"
75,Pret A Manger Plymouth,"Michael House, High St, Exeter EX4 3PZ, UK",11391321,PRET A MANGER LIMITED,active,ltd,2018-05-31,"75b Verde 10 Bressenden Place, London, England, SW1E 5DH",,75.0,"exact_name, active"
303,Rhubarb & Mustard,"studio 5/11, 7a Millbay Rd, Plymouth PL1 3LF, UK",15823278,RHUBARB & MUSTARD SW LTD,active,ltd,2024-07-08,"7a Millbay Road, Studio 5-11, Plymouth, England, PL1 3LF",,109.32432432432432,"similar_name, postcode_match, plymouth_area, active"
262,Rise and Grind Plymouth,"10 Commercial Wharf, Plymouth PL1 2NX, UK",10894048,RISE AND GRIND LIMITED,active,ltd,2017-08-01,"10 10 Commercial Wharf, Madeira Road, Plymouth, Devon, United Kingdom, PL1 2NX",,115.0,"exact_name, postcode_match, plymouth_area, active"
300,Rockets and Rascals,"7 Parade, Plymouth PL1 2JL, UK",09013126,ROCKETS AND RASCALS LTD.,dissolved,ltd,2014-04-28,"7 Parade, The Barbican, Plymouth, Devon, PL1 2JL",,83.33333333333334,"similar_name, postcode_match, plymouth_area, status_dissolved"
214,Roundabout Plymouth,"2-4 Drake Circus, Plymouth PL4 8AQ, UK",03313253,ROUNDABOUT LIMITED,active,private-limited-guarant-nsc,1997-02-05,"13-17 St Barnabas Road, Sheffield, South Yorkshire, S2 4TF",,75.0,"exact_name, active"
224,Rwandz Restaurant,"12 Cornwall St, Plymouth PL1 1LP, UK",16691907,RWANDZ DELIVERY LTD,active,ltd,2025-09-03,"12 Cornwall Street, Plymouth, United Kingdom, PL1 1LP",,85.0,"postcode_match, plymouth_area, active"
299,SATO by Minerva Cafe,"1-29, candlewick road, Alma Yard, Plymouth PL4 0FF, UK",13064499,MINERVA CAFE LTD,active,ltd,2020-12-06,"26 Providence Street, Plymouth, Devon, United Kingdom, PL4 8JQ",,81.2962962962963,"postcode_match, plymouth_area, active"
266,Salt and Pepper Kitchen Plymouth,"65 High St, Plymouth PL1 2AW, UK",15573881,SALT & PEPPER KITCHEN PLYMOUTH LTD,active,ltd,2024-03-18,"65 High Street, Plymouth, England, PL1 2AW",,97.83018867924528,"partial_name, postcode_match, plymouth_area, active"
292,Sonnys coffee shop,"65 Hyde Park Rd, Peverell, Plymouth PL3 4JN, UK",15281912,SONNY’S COFFEE SHOP LIMITED,active,ltd,2023-11-14,"65 Hyde Park Road, Peverell, Plymouth, Devon, United Kingdom, PL3 4JN",,115.0,"exact_name, postcode_match, plymouth_area, active"
336,Spinners Plymouth,"Unit 12, The Barcode, Plymouth PL4 0FE, UK",05581231,SPINNERS LTD,active,ltd,2005-10-03,"126 Petersfield Road, Bournemouth, Dorset, BH7 6QN",,75.0,"exact_name, active"
284,Stoke Village Cafe,"55 Devonport Rd, Stoke, Plymouth PL3 4DL, UK",04050856,PIXIELAND (STOKE VILLAGE) LIMITED,active,ltd,2000-08-10,"C/O Businessvision Unit 4, Sandy Court, Ashleigh Way Plympton, Plymouth, Devon, England, PL7 5JX",,80.55555555555556,"partial_name, postcode_nearby, plymouth_area, active"
34,Subway Plymouth,"Ground Floor, Unit, 166/168 Armada Way, Plymouth PL1 1LB, UK",16037972,SUBWAY LIMITED,active,ltd,2024-10-23,"45 New Bedford Road, Luton, England, LU1 1SE",,75.0,"exact_name, active"
277,Tasties cafe,"1 Cornwall St, Plymouth PL1 1DH, UK",13979214,TASTIES LIMITED,active,ltd,2022-03-16,"63 Nutfield Road, Merstham, Redhill, England, RH1 3ER",,75.0,"exact_name, active"
150,The Blockhouse,"59-61 Devonport Rd, Stoke, Plymouth PL3 4DL, UK",10954208,BLOCKHOUSE ASSETS LIMITED,active,private-limited-guarant-nsc,2017-09-08,"20 Home Park, Plymouth, Devon, United Kingdom, PL2 1BQ",,75.16129032258064,"partial_name, postcode_nearby, plymouth_area, active"
234,The Boathouse Plymouth,"2-5 Commercial Wharf, Plymouth PL1 2NX, UK",14748900,THE BOATHOUSE CHINESE LTD,active,ltd,2023-03-22,"50 Southern Terrace, Plymouth, England, PL4 7LT",,83.52941176470588,"partial_name, postcode_nearby, plymouth_area, active"
238,The Bottling Plant Ltd,"5 Southside St, Plymouth PL1 2LA, UK",12364118,THE BOTTLING PLANT LIMITED,active,ltd,2019-12-16,"24 Cornwall Road, Dorchester, England, DT1 1RX",,75.0,"exact_name, active"
241,The Bridge,"The Bridge Bar & Restaurant, 55 Shaw Way, Mount Batten, Plymouth PL9 9XH, UK",CE013039,THE BRIDGE,,charitable-incorporated-organisation,,,,70.0,exact_name
285,The Caffeine Club,"46 Tavistock Pl, Plymouth PL4 8AX, UK",05760363,THE CAFFEINE CLUB LIMITED,active,ltd,2006-03-29,"C/O Oakleys Accountants, 117 North Hill, Plymouth, Devon, England, PL4 8JY",,115.0,"exact_name, postcode_match, plymouth_area, active"
295,The Early Bird,"51 Mutley Plain, Mutley, Plymouth PL4 6JH, UK",12903046,THE EARLY BIRD CAFE LTD,active,ltd,2020-09-24,"51 Mutley Plain, Mutley, Plymouth, Devon, England, PL4 6JH",,104.3939393939394,"similar_name, postcode_match, plymouth_area, active"
146,The Early Bird Cafe,"34 Mayflower St, Plymouth PL1 1QX, UK",13373911,THE EARLY BIRD CAFE (OTW) LTD,active,ltd,2021-05-04,"34 Mayflower Street, Plymouth, England, PL1 1QX",,97.97297297297297,"partial_name, postcode_match, plymouth_area, active"
179,The Edgcumbe Arms,"Mount Edgcumbe House and Country Park, Cremyll, Torpoint PL10 1HX, UK",15162941,THE EDGCUMBE ARMS LTD,active,ltd,2023-09-25,"C/O Everett King 2nd Floor, 19 Southernhay West, Exeter, United Kingdom, EX1 1PJ",,75.0,"exact_name, active"
264,The Flower Cafe,"46 Southside St, Plymouth PL1 2LD, UK",16504701,THE FLOWER CAFE LTD,active,ltd,2025-06-09,"46 Southside Street, Plymouth, England, PL1 2LD",,101.0,"similar_name, postcode_match, plymouth_area, active"
258,The Funky Panda Restaurant & Cocktail Bar,"5 Old Town St, Plymouth PL1 1DA, UK",15991083,LOST IN RIO RESTAURANT & COCKTAIL BAR LIMITED,active,ltd,2024-10-01,"Lost In Rio Restaurant And Cocktail Bar 8 The Parade Barbican, Plymouth, England, PL1 2JL",,94.1891891891892,"partial_name, postcode_match, plymouth_area, active"
110,The Greedy Goose,"Prysten House, Finewell St, Plymouth PL1 2AE, UK",SC539179,THE GREEDY GOOSE LTD,active,ltd,2016-06-29,"2 Burnett Hill, Banchory, Scotland, AB31 5SG",,75.0,"exact_name, active"
294,The Hideaway Cafe,"25, Faraday Mill Business Park, Faraday Rd, Cattedown, Plymouth PL4 0ST, UK",16328948,THE HIDEAWAY CAFE PLYMOUTH LTD,active,ltd,2025-03-19,"120 Hooe Road, Plymouth, England, PL9 9NJ",,74.21052631578948,"partial_name, postcode_nearby, plymouth_area, active"
255,The Hook & Line,"Royal William Rd, Stonehouse, Plymouth PL1 3QQ, UK",12194685,THE HOOK AND LINE PLYMOUTH LTD,active,ltd,2019-09-06,"4-5 Russell Court, Palace Street, Plymouth, Devon, England, PL1 2AS",,92.8048780487805,"partial_name, postcode_match, plymouth_area, active"
291,The Hutong Bagel Co.,"160 Cremyll St, Stonehouse, Plymouth PL1 3RB, UK",13328375,THE HUTONG BAGEL COMPANY LIMITED,active,ltd,2021-04-12,"Abacus House, 129 North Hill, Plymouth, Devon, England, PL4 8JY",,91.86046511627907,"similar_name, postcode_nearby, plymouth_area, active"
331,The Hyde Park,"88 Mutley Plain, Mutley, Plymouth PL4 6LG, UK",05595607,THE HYDE PARK HAIR SHOP LIMITED,active,ltd,2005-10-18,"Pilgrim House, Oxford Place, Plymouth, Devon, PL1 5AJ",,80.55555555555556,"partial_name, postcode_nearby, plymouth_area, active"
302,The Little Kitchen - TLK Plymouth,"40 Mutley Plain, Mutley, Plymouth PL4 6LE, UK",11779358,THE PLYMOUTH KITCHEN COMPANY LTD,active,ltd,2019-01-21,"Unit 41e Valley Road, Plympton, Plymouth, United Kingdom, PL7 1RF",,72.0,"partial_name, postcode_nearby, plymouth_area, active"
147,The Mannamead,"61-63 Mutley Plain, Mutley, Plymouth PL4 6JH, UK",05391916,MANNAMEAD CARS LTD,active,ltd,2005-03-14,"C/O Oakleys Accountants, 117 North Hill, Plymouth, Devon, England, PL4 8JY",,91.66666666666666,"partial_name, postcode_match, plymouth_area, active"
362,The Miners Arms,"Hemerdon Ln, Hemerdon, Plymouth PL7 5BU, UK",04730248,THE MINERS ARMS (HEMERDON) LIMITED,active,ltd,2003-04-10,"Plym House 3 Longbridge Road Marsh Mills, Plymouth, PL6 8LT",,83.84615384615384,"partial_name, postcode_nearby, plymouth_area, active"
329,The Navy Inn,"34 Southside St, Plymouth PL1 2LE, UK",13158217,THE NAVY INN LIMITED,active,ltd,2021-01-26,"211 Manchester New Road Middleton, Manchester, England, M24 1JT",,75.0,"exact_name, active"
320,The Pit and Pendulum,"50 Ebrington St, Plymouth PL4 9AF, UK",10995731,PIT & PENDULUM LTD,active,ltd,2017-10-04,"50 Ebrington Street, Plymouth, United Kingdom, PL4 9AF",,98.52941176470588,"partial_name, postcode_match, plymouth_area, active"
325,The Queens Arms,"55 Southside St, Plymouth PL1 2LA, UK",12599213,THE QUEEN'S ARMS LIMITED,active,ltd,2020-05-13,"Manor Barn 24 Norlinton Close Orlingbury, Kettering, England, NN14 1FD",,75.0,"exact_name, active"
